Angus	http://statistics.gov.scot/id/statistical-geography/S12000041	UnitedKingdom/Scotland/Angus	Angus	administrative-area
Dundee City	http://statistics.gov.scot/id/statistical-geography/S12000042	UnitedKingdom/Scotland/DundeeCity	Dundee City	administrative-area
North Lanarkshire	http://statistics.gov.scot/id/statistical-geography/S12000044	UnitedKingdom/Scotland/NorthLanarkshire	North Lanarkshire	administrative-area
East Dunbartonshire	http://statistics.gov.scot/id/statistical-geography/S12000045	UnitedKingdom/Scotland/EastDunbartonshire	East Dunbartonshire	administrative-area
Glasgow City	http://statistics.gov.scot/id/statistical-geography/S12000046	UnitedKingdom/Scotland/GlasgowCity	Glasgow City	administrative-area
Aberdeen Central	http://statistics.gov.scot/id/statistical-geography/S16000074	HongKong/HongKongIsland/Southern/HongKong/Aberdeen	Aberdeen	administrative-area
Aberdeen Donside	http://statistics.gov.scot/id/statistical-geography/S16000075	undefined/AberdeenDonside	Aberdeen Donside	non-administrative-area
Aberdeen South and North Kincardine	http://statistics.gov.scot/id/statistical-geography/S16000076	undefined/AberdeenSouthandNorthKincardine	Aberdeen South and North Kincardine	non-administrative-area
Aberdeenshire East	http://statistics.gov.scot/id/statistical-geography/S16000077	UnitedKingdom/Scotland/Aberdeenshire	Aberdeenshire	administrative-area
Aberdeenshire West	http://statistics.gov.scot/id/statistical-geography/S16000078	UnitedKingdom/Scotland/Aberdeenshire	Aberdeenshire	administrative-area
Airdrie and Shotts	http://statistics.gov.scot/id/statistical-geography/S16000079	UnitedKingdom/NorthLanarkshire/Motherwell/AirdrieandShotts	Airdrie and Shotts	administrative-area
Almond Valley	http://statistics.gov.scot/id/statistical-geography/S16000080	UnitedStates/Maryland/CarrollCounty/4,Woolerys/AlmondValley	Almond Valley	administrative-area
Angus North and Mearns	http://statistics.gov.scot/id/statistical-geography/S16000081	undefined/AngusNorthandMearns	Angus North and Mearns	non-administrative-area
Angus South	http://statistics.gov.scot/id/statistical-geography/S16000082	UnitedKingdom/Scotland/Angus	Angus	administrative-area
Argyll and Bute	http://statistics.gov.scot/id/statistical-geography/S16000083	UnitedKingdom/Scotland/ArgyllandBute	Argyll and Bute	administrative-area
Ayr	http://statistics.gov.scot/id/statistical-geography/S16000084	undefined/Ayr	Ayr	non-administrative-area
Banffshire and Buchan Coast	http://statistics.gov.scot/id/statistical-geography/S16000085	undefined/BanffshireandBuchanCoast	Banffshire and Buchan Coast	non-administrative-area
Caithness	http://statistics.gov.scot/id/statistical-geography/S16000086	Canada/NewBrunswick/CharlotteCounty/SaintGeorge/Caithness	Caithness	administrative-area
Carrick	http://statistics.gov.scot/id/statistical-geography/S16000087	UnitedStates/Pennsylvania/AlleghenyCounty/Pittsburgh/Carrick	Carrick	administrative-area
Clackmannanshire and Dunblane	http://statistics.gov.scot/id/statistical-geography/S16000088	UnitedKingdom/Dunblane	Dunblane	administrative-area
Clydebank and Milngavie	http://statistics.gov.scot/id/statistical-geography/S16000089	undefined/ClydebankandMilngavie	Clydebank and Milngavie	non-administrative-area
Clydesdale	http://statistics.gov.scot/id/statistical-geography/S16000090	undefined/Clydesdale	Clydesdale	non-administrative-area
Coatbridge and Chryston	http://statistics.gov.scot/id/statistical-geography/S16000091	undefined/CoatbridgeandChryston	Coatbridge and Chryston	non-administrative-area
Cowdenbeath	http://statistics.gov.scot/id/statistical-geography/S16000092	undefined/Cowdenbeath	Cowdenbeath	non-administrative-area
Cumbernauld and Kilsyth	http://statistics.gov.scot/id/statistical-geography/S16000093	undefined/CumbernauldandKilsyth	Cumbernauld and Kilsyth	non-administrative-area
Cunninghame North	http://statistics.gov.scot/id/statistical-geography/S16000094	undefined/CunninghameNorth	Cunninghame North	non-administrative-area
Cunninghame South	http://statistics.gov.scot/id/statistical-geography/S16000095	undefined/CunninghameSouth	Cunninghame South	non-administrative-area
Dumbarton	http://statistics.gov.scot/id/statistical-geography/S16000096	UnitedKingdom/Scotland/WestDunbartonshire/Dumbarton	Dumbarton	administrative-area
Dumfriesshire	http://statistics.gov.scot/id/statistical-geography/S16000097	UnitedKingdom/DumfriesandGalloway/Lockerbie/Dumfriesshire	Dumfriesshire	administrative-area
Dundee City East	http://statistics.gov.scot/id/statistical-geography/S16000098	UnitedKingdom/Scotland/DundeeCity/Dundee	Dundee	administrative-area
Dundee City West	http://statistics.gov.scot/id/statistical-geography/S16000099	UnitedKingdom/Scotland/DundeeCity/Dundee	Dundee	administrative-area
Dunfermline	http://statistics.gov.scot/id/statistical-geography/S16000100	UnitedKingdom/Scotland/Fife/Dunfermline	Dunfermline	administrative-area
East Kilbride	http://statistics.gov.scot/id/statistical-geography/S16000101	UnitedKingdom/Scotland/SouthLanarkshire/Glasgow/EastKilbride	East Kilbride	administrative-area
East Lothian	http://statistics.gov.scot/id/statistical-geography/S16000102	UnitedKingdom/Scotland/EastLothian	East Lothian	administrative-area
Eastwood	http://statistics.gov.scot/id/statistical-geography/S16000103	Australia/NewSouthWales/Eastwood	Eastwood	administrative-area
Edinburgh Central	http://statistics.gov.scot/id/statistical-geography/S16000104	UnitedKingdom/Scotland/Edinburgh	Edinburgh	administrative-area
Edinburgh Eastern	http://statistics.gov.scot/id/statistical-geography/S16000105	UnitedStates/Ohio/WayneCounty/EastUnionTownship/AppleCreek/Edinburgh	Edinburgh	administrative-area
Edinburgh Northern and Leith	http://statistics.gov.scot/id/statistical-geography/S16000106	UnitedKingdom/Scotland/Edinburgh/Edinburgh/Edinburgh/Leith	Leith	administrative-area
Edinburgh Pentlands	http://statistics.gov.scot/id/statistical-geography/S16000107	UnitedKingdom/Midlothian/Edinburgh/Damhead/PentlandHouse	Pentland House	administrative-area
Edinburgh Southern	http://statistics.gov.scot/id/statistical-geography/S16000108	undefined/EdinburghSouthern	Edinburgh Southern	non-administrative-area
Edinburgh Western	http://statistics.gov.scot/id/statistical-geography/S16000109	UnitedKingdom/Edinburgh	Edinburgh	administrative-area
Na h-Eileanan an Iar	http://statistics.gov.scot/id/statistical-geography/S16000110	UnitedKingdom/Scotland/Nah-EileanananIar	Na h-Eileanan an Iar	administrative-area
Ettrick	http://statistics.gov.scot/id/statistical-geography/S16000111	UnitedKingdom/Scotland/ScottishBorders/Selkirk/Ettrick	Ettrick	administrative-area
Falkirk East	http://statistics.gov.scot/id/statistical-geography/S16000112	undefined/FalkirkEast	Falkirk East	non-administrative-area
Falkirk West	http://statistics.gov.scot/id/statistical-geography/S16000113	undefined/FalkirkWest	Falkirk West	non-administrative-area
Galloway and West Dumfries	http://statistics.gov.scot/id/statistical-geography/S16000114	UnitedKingdom/Scotland/DumfriesandGalloway/Dumfries/Dumfries	Dumfries	administrative-area
Glasgow Anniesland	http://statistics.gov.scot/id/statistical-geography/S16000115	UnitedKingdom/Scotland/GlasgowCity/Glasgow/Glasgow/Anniesland	Anniesland	administrative-area
Glasgow Cathcart	http://statistics.gov.scot/id/statistical-geography/S16000116	UnitedKingdom/Scotland/GlasgowCity/Glasgow/Glasgow/Cathcart	Cathcart	administrative-area
Glasgow Kelvin	http://statistics.gov.scot/id/statistical-geography/S16000117	UnitedKingdom/Scotland/SouthLanarkshire/Glasgow/EastKilbride/KelvinIndustrialEstate	Kelvin Industrial Estate	administrative-area
